iter	trend_lb	er_window	er_threshold	vol_lb	rebalance	dev_sharpe	dev_ann_return	dev_max_dd	dev_turnover	status
67	42	63	0.4	21	ME	-0.3335	-0.0292	-0.435	0.008	discard
68	42	63	0.4	42	W-FRI	-0.4805	-0.0389	-0.4571	0.0194	discard
69	42	63	0.4	42	ME	-0.3335	-0.0292	-0.435	0.008	discard
70	42	63	0.4	63	W-FRI	-0.4812	-0.0389	-0.4572	0.0194	discard
71	42	63	0.4	63	ME	-0.3335	-0.0292	-0.435	0.008	discard
72	63	21	0.0	21	W-FRI	0.2625	0.0155	-0.2076	0.0706	discard
73	63	21	0.0	21	ME	0.4104	0.0253	-0.1274	0.0349	discard
74	63	21	0.0	42	W-FRI	0.2787	0.0162	-0.2025	0.0624	discard
75	63	21	0.0	42	ME	0.4149	0.0249	-0.1313	0.0314	discard
76	63	21	0.0	63	W-FRI	0.2706	0.0158	-0.2103	0.0596	discard
77	63	21	0.0	63	ME	0.4019	0.0242	-0.1419	0.0302	discard
78	63	21	0.2	21	W-FRI	0.2085	0.0146	-0.1846	0.2286	discard
79	63	21	0.2	21	ME	0.1963	0.0131	-0.2808	0.0753	discard
80	63	21	0.2	42	W-FRI	0.2058	0.0143	-0.1942	0.2266	discard
81	63	21	0.2	42	ME	0.1916	0.0127	-0.2855	0.075	discard
82	63	21	0.2	63	W-FRI	0.1987	0.0136	-0.194	0.2272	discard
83	63	21	0.2	63	ME	0.1889	0.0125	-0.2942	0.0752	discard
84	63	21	0.3	21	W-FRI	0.416	0.0369	-0.1852	0.2131	discard
85	63	21	0.3	21	ME	-0.0213	-0.0077	-0.3048	0.0779	discard
86	63	21	0.3	42	W-FRI	0.3879	0.0337	-0.1861	0.2119	discard
87	63	21	0.3	42	ME	-0.0246	-0.0081	-0.3081	0.0779	discard
88	63	21	0.3	63	W-FRI	0.3849	0.0335	-0.19	0.2115	discard
89	63	21	0.3	63	ME	-0.0353	-0.0091	-0.3153	0.0779	discard
90	63	21	0.4	21	W-FRI	-0.1409	-0.0217	-0.3131	0.1566	discard
91	63	21	0.4	21	ME	0.1508	0.0093	-0.2845	0.0569	discard
92	63	21	0.4	42	W-FRI	-0.1694	-0.0247	-0.3329	0.1568	discard
93	63	21	0.4	42	ME	0.1281	0.007	-0.2873	0.0568	discard
94	63	21	0.4	63	W-FRI	-0.1731	-0.0251	-0.3366	0.1566	discard
95	63	21	0.4	63	ME	0.1202	0.0063	-0.2892	0.0567	discard
96	63	42	0.0	21	W-FRI	0.2625	0.0155	-0.2076	0.0706	discard
97	63	42	0.0	21	ME	0.4104	0.0253	-0.1274	0.0349	discard
98	63	42	0.0	42	W-FRI	0.2787	0.0162	-0.2025	0.0624	discard
99	63	42	0.0	42	ME	0.4149	0.0249	-0.1313	0.0314	discard
100	63	42	0.0	63	W-FRI	0.2706	0.0158	-0.2103	0.0596	discard
101	63	42	0.0	63	ME	0.4019	0.0242	-0.1419	0.0302	discard
102	63	42	0.2	21	W-FRI	0.4041	0.0395	-0.2887	0.1649	discard
103	63	42	0.2	21	ME	0.1179	0.0061	-0.2395	0.0629	discard
104	63	42	0.2	42	W-FRI	0.3861	0.0372	-0.2903	0.1626	discard
105	63	42	0.2	42	ME	0.1079	0.005	-0.2377	0.0625	discard
106	63	42	0.2	63	W-FRI	0.3799	0.0364	-0.2904	0.162	discard
107	63	42	0.2	63	ME	0.1235	0.0067	-0.2349	0.062	discard
108	63	42	0.3	21	W-FRI	0.5425	0.0531	-0.2199	0.1148	discard
109	63	42	0.3	21	ME	0.7131	0.0648	-0.2688	0.0412	discard
110	63	42	0.3	42	W-FRI	0.5238	0.0509	-0.2213	0.1133	discard
111	63	42	0.3	42	ME	0.6952	0.063	-0.271	0.041	discard
112	63	42	0.3	63	W-FRI	0.5337	0.052	-0.2167	0.113	discard
113	63	42	0.3	63	ME	0.7019	0.0636	-0.2742	0.0409	discard
114	63	42	0.4	21	W-FRI	0.3923	0.0321	-0.2685	0.0496	discard
115	63	42	0.4	21	ME	0.3004	0.0243	-0.2953	0.0168	discard
116	63	42	0.4	42	W-FRI	0.3618	0.0292	-0.2688	0.0495	discard
117	63	42	0.4	42	ME	0.2966	0.0239	-0.2953	0.0169	discard
118	63	42	0.4	63	W-FRI	0.3617	0.0292	-0.2691	0.0494	discard
119	63	42	0.4	63	ME	0.2972	0.024	-0.2953	0.0168	discard
120	63	63	0.0	21	W-FRI	0.2625	0.0155	-0.2076	0.0706	discard
121	63	63	0.0	21	ME	0.4104	0.0253	-0.1274	0.0349	discard
122	63	63	0.0	42	W-FRI	0.2787	0.0162	-0.2025	0.0624	discard
123	63	63	0.0	42	ME	0.4149	0.0249	-0.1313	0.0314	discard
124	63	63	0.0	63	W-FRI	0.2706	0.0158	-0.2103	0.0596	discard
125	63	63	0.0	63	ME	0.4019	0.0242	-0.1419	0.0302	discard
126	63	63	0.2	21	W-FRI	0.3367	0.0292	-0.1748	0.1263	discard
127	63	63	0.2	21	ME	0.1003	0.0041	-0.286	0.0532	discard
128	63	63	0.2	42	W-FRI	0.3317	0.0286	-0.1776	0.125	discard
129	63	63	0.2	42	ME	0.1049	0.0046	-0.2864	0.0528	discard
130	63	63	0.2	63	W-FRI	0.3332	0.0287	-0.1762	0.1237	discard
131	63	63	0.2	63	ME	0.11	0.0052	-0.2779	0.0526	discard
132	63	63	0.3	21	W-FRI	0.2617	0.0194	-0.1924	0.0581	discard
133	63	63	0.3	21	ME	0.1853	0.0135	-0.2279	0.0246	discard
134	63	63	0.3	42	W-FRI	0.248	0.0182	-0.1984	0.0578	discard
135	63	63	0.3	42	ME	0.1818	0.0131	-0.2297	0.0246	discard
136	63	63	0.3	63	W-FRI	0.2532	0.0187	-0.1995	0.0575	discard
137	63	63	0.3	63	ME	0.2003	0.0152	-0.2307	0.0245	discard
138	63	63	0.4	21	W-FRI	-0.4784	-0.0386	-0.4554	0.0194	discard
139	63	63	0.4	21	ME	-0.3335	-0.0292	-0.435	0.008	discard
140	63	63	0.4	42	W-FRI	-0.4805	-0.0389	-0.4571	0.0194	discard
141	63	63	0.4	42	ME	-0.3335	-0.0292	-0.435	0.008	discard
142	63	63	0.4	63	W-FRI	-0.4812	-0.0389	-0.4572	0.0194	discard
143	63	63	0.4	63	ME	-0.3335	-0.0292	-0.435	0.008	discard
144	126	21	0.0	21	W-FRI	0.2891	0.0178	-0.1512	0.0511	discard
145	126	21	0.0	21	ME	0.309	0.0192	-0.2215	0.0249	discard
146	126	21	0.0	42	W-FRI	0.2798	0.0167	-0.1515	0.0428	discard
147	126	21	0.0	42	ME	0.3047	0.0183	-0.2284	0.0212	discard
148	126	21	0.0	63	W-FRI	0.2694	0.016	-0.1392	0.0405	discard
149	126	21	0.0	63	ME	0.3032	0.0184	-0.2183	0.02	discard
150	126	21	0.2	21	W-FRI	0.2095	0.0147	-0.2471	0.2184	discard
151	126	21	0.2	21	ME	0.3055	0.0235	-0.31	0.0706	discard
152	126	21	0.2	42	W-FRI	0.1797	0.0118	-0.2547	0.2174	discard
153	126	21	0.2	42	ME	0.3186	0.0248	-0.3064	0.0705	discard
154	126	21	0.2	63	W-FRI	0.1961	0.0133	-0.2453	0.218	discard
155	126	21	0.2	63	ME	0.3176	0.0246	-0.3131	0.0704	discard
156	126	21	0.3	21	W-FRI	0.5436	0.0494	-0.1859	0.2034	discard
157	126	21	0.3	21	ME	0.4404	0.038	-0.2859	0.0751	discard
158	126	21	0.3	42	W-FRI	0.5164	0.0464	-0.2064	0.2027	discard
159	126	21	0.3	42	ME	0.4513	0.0393	-0.2753	0.0752	discard
160	126	21	0.3	63	W-FRI	0.5418	0.0489	-0.1923	0.2023	discard
161	126	21	0.3	63	ME	0.4495	0.039	-0.2859	0.0751	discard
162	126	21	0.4	21	W-FRI	-0.0198	-0.0085	-0.3428	0.151	discard
163	126	21	0.4	21	ME	0.0619	0.0005	-0.3094	0.0551	discard
164	126	21	0.4	42	W-FRI	-0.0539	-0.0121	-0.3457	0.1513	discard
165	126	21	0.4	42	ME	0.0743	0.0017	-0.3038	0.0549	discard
166	126	21	0.4	63	W-FRI	-0.054	-0.0121	-0.3448	0.151	discard
167	126	21	0.4	63	ME	0.0648	0.0008	-0.3048	0.0548	discard
168	126	42	0.0	21	W-FRI	0.2891	0.0178	-0.1512	0.0511	discard
169	126	42	0.0	21	ME	0.309	0.0192	-0.2215	0.0249	discard
170	126	42	0.0	42	W-FRI	0.2798	0.0167	-0.1515	0.0428	discard
171	126	42	0.0	42	ME	0.3047	0.0183	-0.2284	0.0212	discard
172	126	42	0.0	63	W-FRI	0.2694	0.016	-0.1392	0.0405	discard
173	126	42	0.0	63	ME	0.3032	0.0184	-0.2183	0.02	discard
174	126	42	0.2	21	W-FRI	0.4874	0.0464	-0.2602	0.1685	discard
175	126	42	0.2	21	ME	0.1169	0.0059	-0.2474	0.064	discard
176	126	42	0.2	42	W-FRI	0.4567	0.0428	-0.2611	0.1663	discard
177	126	42	0.2	42	ME	0.1035	0.0045	-0.2473	0.0637	discard
178	126	42	0.2	63	W-FRI	0.4565	0.0426	-0.261	0.1657	discard
179	126	42	0.2	63	ME	0.1173	0.006	-0.2438	0.0632	discard
180	126	42	0.3	21	W-FRI	0.542	0.0529	-0.2199	0.1155	discard
181	126	42	0.3	21	ME	0.8974	0.0832	-0.2269	0.0408	keep
182	126	42	0.3	42	W-FRI	0.5213	0.0505	-0.2201	0.1141	discard
183	126	42	0.3	42	ME	0.8806	0.0816	-0.2263	0.0406	discard
184	126	42	0.3	63	W-FRI	0.53	0.0515	-0.219	0.1137	discard
185	126	42	0.3	63	ME	0.8895	0.0825	-0.226	0.0405	discard
186	126	42	0.4	21	W-FRI	0.4366	0.0364	-0.2771	0.0502	discard
187	126	42	0.4	21	ME	0.3798	0.0323	-0.2953	0.0168	discard
