iter	trend_lb	er_window	er_threshold	vol_lb	rebalance	dev_sharpe	dev_ann_return	dev_max_dd	dev_turnover	status
339	252	63	0.0	42	ME	-0.0048	-0.0026	-0.2036	0.0181	discard
340	252	63	0.0	63	W-FRI	-0.0346	-0.0047	-0.2233	0.0338	discard
341	252	63	0.0	63	ME	-0.0282	-0.0041	-0.2096	0.017	discard
342	252	63	0.2	21	W-FRI	0.3701	0.0318	-0.1768	0.1285	discard
343	252	63	0.2	21	ME	-0.0255	-0.0092	-0.385	0.0516	discard
344	252	63	0.2	42	W-FRI	0.365	0.0312	-0.1737	0.1273	discard
345	252	63	0.2	42	ME	-0.0123	-0.0077	-0.3918	0.0513	discard
346	252	63	0.2	63	W-FRI	0.3625	0.0309	-0.1743	0.1263	discard
347	252	63	0.2	63	ME	-0.0079	-0.0072	-0.3844	0.0511	discard
348	252	63	0.3	21	W-FRI	0.2165	0.0151	-0.1924	0.0571	discard
349	252	63	0.3	21	ME	0.0558	-0.0008	-0.2866	0.024	discard
350	252	63	0.3	42	W-FRI	0.1993	0.0136	-0.1984	0.0568	discard
351	252	63	0.3	42	ME	0.0526	-0.0011	-0.2886	0.024	discard
352	252	63	0.3	63	W-FRI	0.2031	0.0139	-0.1995	0.0565	discard
353	252	63	0.3	63	ME	0.068	0.0006	-0.2737	0.024	discard
354	252	63	0.4	21	W-FRI	-0.5486	-0.0435	-0.4567	0.0197	discard
355	252	63	0.4	21	ME	-0.426	-0.0359	-0.435	0.008	discard
356	252	63	0.4	42	W-FRI	-0.5513	-0.0438	-0.4581	0.0197	discard
357	252	63	0.4	42	ME	-0.426	-0.0359	-0.435	0.008	discard
358	252	63	0.4	63	W-FRI	-0.5527	-0.0439	-0.4581	0.0197	discard
359	252	63	0.4	63	ME	-0.426	-0.0359	-0.435	0.008	discard
